Registration 	Roll	M( CSE) 101	HU 101	PH 101	CS 101	ME 101	ME 194	PH 191	HU 191	ME 193	CS 191	XC 181	SGPA
151230110028	150403028	A	E	B	E	B	O	A	E	E	O	B	8.41
151230110020	150403020	A	A	B	B	A	O	E	A	E	E	O	8.31
151230110097	150403097	B	A	C	E	B	O	E	E	E	O	O	8.28
151230110043	150403043	E	E	C	B	B	O	E	E	E	E	B	8.24
151230110002	150403002	A	E	A	A	B	A	E	E	E	E	B	8.21
151230110116	150403116	E	A	B	B	B	O	E	E	E	B	B	8.14
151230110027	150403027	A	B	B	B	A	E	E	E	E	E	B	8.10
151230110044	150403044	A	B	B	A	B	E	E	E	E	E	B	8.07
151230110065	150403065	B	E	C	E	B	E	E	E	E	A	E	8.07
151230110031	150403031	E	E	C	A	B	E	A	A	E	B	B	7.97
151230110060	150403060	A	E	C	A	B	E	A	E	A	A	A	7.90
151230110053	150403053	B	A	B	B	B	A	E	E	E	E	O	7.90
151230110114	150403114	A	B	C	E	C	O	E	E	E	B	B	7.90
151230110023	150403023	B	A	C	B	B	E	E	E	E	O	B	7.86
151230110024	150403024	B	A	C	A	B	A	E	E	E	E	E	7.86
151230110106	150403106	E	E	C	B	C	E	E	A	E	B	B	7.79
151230110105	150403105	A	E	B	B	C	E	A	E	E	B	B	7.76
151230110003	150403003	C	A	B	A	B	A	A	E	E	E	B	7.69
151230110094	150403094	C	A	D	B	B	O	E	E	E	E	B	7.66
151230110006	150403006	B	A	C	B	C	E	E	E	E	B	O	7.62
151230110045	150403045	C	E	C	A	C	E	A	E	E	E	B	7.62
151230110037	150403037	C	A	C	A	B	A	E	E	A	O	B	7.62
151230110049	150403049	D	A	B	A	C	E	A	E	E	E	B	7.52
151230110040	150403040	B	A	C	B	C	E	A	E	A	A	A	7.45
151230110100	150403100	D	A	B	A	D	O	E	E	E	B	A	7.45
151230110112	150403112	B	O	D	B	C	E	E	E	A	B	B	7.45
151230110113	150403113	D	A	D	A	B	E	E	E	A	A	O	7.45
151230110042	150403042	B	A	B	B	C	A	A	E	A	A	B	7.41
151230110017	150403017	B	A	C	B	C	E	E	E	A	B	B	7.41
151230110101	150403101	C	A	D	A	D	E	A	E	E	O	B	7.38
151230110096	150403096	C	A	D	A	C	E	E	E	E	B	B	7.38
151230110082	150403082	D	A	D	A	C	E	E	E	A	E	E	7.34
151230110118	150403118	D	A	D	B	C	O	E	E	E	B	O	7.34
151230110026	150403026	D	A	C	A	C	O	A	E	A	A	B	7.34
151230110036	150403036	D	A	C	A	C	E	A	E	A	A	O	7.34
151230110058	150403058	A	B	D	D	B	E	B	E	E	A	B	7.34
151230110071	150403071	B	A	D	C	C	E	E	E	E	C	O	7.34
151230110046	150403046	D	A	C	A	C	B	A	E	E	E	O	7.31
151230110033	150403033	B	B	B	B	C	A	A	E	B	A	E	7.31
151230110080	150403080	A	B	D	B	D	E	A	E	A	E	B	7.31
151230110079	150403079	C	E	D	B	C	E	B	E	E	B	E	7.28
151230110051	150403051	D	A	D	B	C	E	A	E	E	E	E	7.28
151230110055	150403055	C	A	C	A	D	A	B	E	E	E	B	7.24
151230110007	150403007	B	A	C	C	B	B	E	E	A	B	B	7.24
151230110075	150403075	D	A	C	A	C	A	E	E	E	B	B	7.24
151230110074	150403074	C	A	C	D	C	E	E	E	A	E	B	7.21
151230110061	150403061	A	C	D	B	B	E	B	E	B	B	B	7.21
151230110056	150403056	D	B	C	B	C	E	A	E	E	A	B	7.17
151230110001	150403001	D	B	B	B	C	E	E	E	A	B	B	7.17
151230110081	150403081	C	A	D	B	C	E	E	E	A	B	B	7.17
151230110078	150403078	C	A	D	C	C	E	E	E	E	C	E	7.17
151230110098	150403098	D	A	C	C	D	O	E	E	E	B	E	7.17
151230110085	150403085	D	A	D	B	C	E	O	E	E	C	B	7.14
151230110032	150403032	C	A	C	C	C	A	A	E	E	B	A	7.14
151230110048	150403048	D	A	C	B	C	A	A	E	E	A	B	7.14
151230110041	150403041	C	A	C	D	B	O	A	E	B	B	B	7.14
151230110070	150403070	B	B	D	C	C	E	E	A	A	C	O	7.10
151230110011	150403011	D	B	D	A	C	A	A	E	A	O	B	7.10
151230110119	150403119	D	A	D	C	B	E	A	E	A	B	O	7.10
151230110068	150403068	B	B	D	B	C	B	E	E	A	C	O	7.07
151230110015	150403015	B	B	D	A	D	A	A	E	A	B	B	7.03
